Document,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18,Topic19,Topic20,Topic21,Topic22,Topic23,Topic24,Topic25,Topic26,Topic27,Topic28,Topic29,Topic30,Topic31,Topic32,Topic33,Topic34,Topic35,Topic36,Topic37,Topic38,Topic39,Topic40,Topic41,Topic42,Topic43,Topic44,Topic45,Topic46,Topic47,Topic48,Topic49,Topic50
1696_0,0.13,0.13,0.13,2.73,0.13,0.13,1.43,0.13,0.13,0.13,0.13,0.13,0.13,4.03,0.13,0.13,9.22,0.13,0.13,0.13,20.91,37.79,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,9.22,0.13,0.13,0.13,2.73,0.13,6.62,0.13
1202_0,0.08,0.85,0.08,3.15,0.08,25.46,0.08,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28_0,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,8.75,4.58,0.42,4.58,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,4.58,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,4.58,0.42,4.58,0.42,0.42,50.42,0.42,0.42
286_0,0.03,0.36,0.03,22.33,0.03,0.36,0.03,0.36,0.03,9.21,0.03,4.3,4.95,3.97,1.67,6.59,0.03,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
657_0,16.57,0.15,0.15,0.15,3.13,1.64,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,37.46,0.15,34.48,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
612_0,17.97,3.63,0.04,6.81,0.04,2.83,25.14,0.44,0.04,10.8,0.04,0.44,1.63,0.84,3.23,1.63,0.04,6.81,0.04,5.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
939_0,0.07,11.03,7.6,1.44,0.07,0.75,0.07,28.15,0.07,17.88,0.07,9.66,0.07,1.44,0.07,10.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1432_0,0.05,7.97,0.05,23.81,0.05,0.54,0.05,9.95,0.05,0.54,3.51,2.03,1.53,3.02,12.43,1.04,0.54,8.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1477_0,0.06,10.25,0.06,3.89,0.06,0.7,0.06,5.16,3.25,9.62,1.97,5.16,0.06,0.7,0.06,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
861_0,0.03,3.27,5.7,0.3,0.03,0.57,1.38,9.49,0.03,0.3,0.03,4.35,0.03,3.27,18.41,8.41,0.03,11.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
824_0,0.03,0.31,3.1,0.31,9.8,2.54,0.03,0.87,0.03,0.59,0.03,5.89,0.03,4.5,0.03,13.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1818_0,0.09,6.98,0.95,0.95,0.09,6.98,0.09,0.95,0.09,9.57,0.09,0.95,0.09,8.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1733_0,0.02,0.67,0.02,1.33,0.02,6.1,0.02,0.18,1.17,12.85,15.31,0.18,0.02,11.2,0.02,2.32,0.02,18.77,0.02,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1776_0,7.57,1.79,11.04,6.42,0.06,4.1,2.95,1.79,0.06,17.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
323_0,0.03,0.38,0.03,18.22,2.13,12.62,0.03,1.43,0.03,14.02,1.43,10.17,0.03,2.83,0.03,16.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
366_0,0.02,7.86,0.02,0.46,14.4,0.24,0.02,11.13,0.02,2.42,0.02,10.26,3.07,1.98,0.02,13.09,0.02,7.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433_0,0.02,4.49,0.02,2.92,0.02,1.36,0.02,0.92,0.02,0.92,14.31,4.93,0.02,0.25,0.02,3.37,0.02,12.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
476_0,0.01,2.03,2.56,0.22,1.29,0.44,16.39,0.33,0.01,1.29,0.01,0.33,0.01,2.35,7.46,0.44,0.01,0.44,0.01,0.54,0.65,0.33,16.07,0.54,0.01,0.65,0.01,29.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1023_0,0.06,2.53,9.32,0.68,0.06,9.32,0.06,2.53,0.06,3.15,0.06,1.91,11.79,1.3,25.99,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1860_0,0.01,0.73,2.91,21,6.01,4.97,13.45,6.84,1.98,6.01,0.01,4.56,0.01,3.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1066_0,0.08,0.93,0.08,8.56,0.08,1.78,0.08,1.78,0.08,6.02,0.08,6.86,0.08,13.64,0.08,15.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1825_0,0.04,2.29,1.39,0.49,0.04,9.46,0.04,0.94,5.43,2.29,0.04,0.94,20.67,9.01,0.04,9.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
732_0,0.02,0.92,5.6,17.21,0.02,13.42,0.02,0.92,0.02,0.69,0.02,0.47,1.14,0.92,10.07,0.92,0.02,7.17,0.02,5.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
777_0,1.78,6.13,0.04,1.78,27.87,15.7,0.04,3.09,0.04,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322_0,0.04,8.27,14.76,1.34,0.04,6.54,2.64,4.37,0.04,32.08,0.04,3.94,2.21,1.77,0.04,17.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1367_0,16.93,0.59,0.03,3.13,0.31,9.89,0.03,4.54,22.85,2.28,0.59,2,0.03,1.44,0.03,0.87,0.03,7.07,0.31,3.13,0.03,13.83,0.03,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
819_0,0.02,11.16,17.15,0.66,0.02,0.24,0.02,0.45,0.02,9.23,0.02,0.88,0.02,1.09,0.02,0.88,0.24,15.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50_0,0.05,5.1,0.56,12.68,0.05,1.57,0.05,4.6,9.65,1.06,0.05,5.1,0.05,1.06,0.05,12.17,3.59,3.59,0.56,3.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15_0,1.69,0.15,3.23,0.15,0.15,0.15,0.15,0.15,0.15,1.69,18.62,0.15,0.15,7.85,0.15,0.15,0.15,0.15,1.69,4.77,0.15,27.85,0.15,0.15,0.15,0.15,10.92,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,14,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,1.69,0.15,0.15,0.15
596_0,0.06,5.11,0.06,3.43,0.06,1.18,0.06,2.3,0.06,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
904_0,2.56,0.91,0.08,0.91,0.08,0.91,0.08,5.87,25.7,1.74,13.31,11.65,0.08,0.91,0.91,2.56,0.08,5.04,0.08,3.39,0.08,0.91,0.08,1.74,0.08,18.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147_0,0.04,0.44,0.04,16.1,2.85,0.44,0.04,18.51,0.04,0.84,0.04,20.52,0.04,1.24,0.04,0.44,0.04,8.07,0.04,0.84,0.04,5.66,4.46,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
941_0,1.69,8.15,1.69,1.69,0.08,25.08,8.15,11.37,0.08,8.15,0.08,0.89,0.08,3.31,0.08,5.73,10.56,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102_0,0.16,14.92,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,1.8,26.39,0.16,8.36,0.16,0.16,1.8,0.16,0.16,0.16,0.16,1.8,0.16,0.16,0.16,13.28,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,5.08,19.84,0.16,0.16
1557_0,15.48,7.89,0.03,2.28,0.03,6.21,0.03,0.31,3.68,6.21,0.03,0.31,0.59,0.59,12.11,4.24,0.03,0.87,0.03,0.31,0.03,4.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1186_0,0.03,0.3,0.03,0.57,0.03,1.11,0.03,3.29,14.16,14.7,3.83,0.3,0.03,19.05,0.03,7.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1512_0,0.36,1.69,5.33,1.36,0.03,14.93,3.01,0.36,0.03,9.3,0.03,1.69,13.94,15.26,0.03,5.99,0.03,2.68,0.03,0.36,0.03,3.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980_0,0.09,2.72,15.88,3.6,0.09,0.96,0.09,1.84,1.84,2.72,0.96,19.39,0.09,13.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1938_0,0.24,0.24,0.24,0.24,0.24,0.24,10,0.24,2.68,0.24,0.24,0.24,0.24,0.24,0.24,0.24,7.56,0.24,0.24,0.24,31.95,5.12,0.24,0.24,0.24,0.24,0.24,0.24,0.24,2.68,0.24,2.68,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,22.2,0.24,2.68,0.24,2.68,0.24,0.24
